cycle,o_word
827,0
828,6.6875
829,6.875
830,7
831,7.125
832,7.3125
833,0
834,0
835,0
836,7.9375
837,-8
838,0.0625
839,0
840,0.0625
841,0
842,-0.0625
843,0
844,-7
845,-6.8125
846,-6.6875
847,-6.5625
848,-6.375
849,0
850,0
851,0
852,7.9375
853,-8
854,0.0625
855,0
856,0.0625
857,0
858,-0.0625
859,0
860,-4.6875
861,-4.5
862,-4.375
863,-4.25
864,-4.0625
865,0
866,0
867,0
868,7.9375
869,-8
870,0.0625
871,0
872,0.0625
873,0
874,-0.0625
875,0
876,-2.375
877,-2.1875
878,-2.0625
879,-1.9375
880,-1.75
881,0
882,0
883,0
884,7.9375
885,-8
886,0.0625
887,0
888,0.0625
889,0
890,-0.0625
891,0
892,-0.0625
893,0.125
894,0.25
895,0.375
896,0.5625
897,0
898,0
899,0
900,7.9375
901,-8
902,0.0625
903,0
904,0.0625
905,0
906,-0.0625
907,0
908,2.25
909,2.4375
910,2.5625
911,2.6875
912,2.875
913,0
914,0
915,0
916,7.9375
917,-8
918,0.0625
919,0
920,0.0625
921,0
922,-0.0625
923,0
924,4.5625
925,4.75
926,4.875
927,5
928,5.1875
929,0
930,0
931,0
932,7.9375
933,-8
934,0.0625
935,0
936,0.0625
937,0
938,-0.0625
939,0
940,6.875
941,7.0625
942,7.1875
943,7.3125
944,7.5
945,0
946,0
947,0
948,7.9375
949,-8
950,0.0625
951,0
952,0.0625
953,0
954,-0.0625
955,0
956,-6.8125
957,-6.625
958,-6.5
959,-6.375
960,-6.1875
961,0
962,0
963,0
964,7.9375
965,-8
966,0.0625
967,0
968,0.0625
969,0
970,-0.0625
971,0
972,-4.5
973,-4.3125
974,-4.1875
975,-4.0625
976,-3.875
977,0
978,0
979,0
980,7.9375
981,-8
982,0.0625
983,0
984,0.0625
985,0
986,-0.0625
987,0
988,-2.1875
989,-2
990,-1.875
991,-1.75
992,-1.5625
993,0
994,0
995,0
996,7.9375
997,-8
998,0.0625
999,0
1000,0.0625
1001,0
1002,-0.0625
1003,0
1004,0.125
1005,0.3125
1006,0.4375
1007,0.5625
1008,0.75
1009,0
1010,0
1011,0
1012,7.9375
1013,-8
1014,0.0625
1015,0
1016,0.0625
1017,0
1018,-0.0625
1019,0
1020,2.4375
1021,2.625
1022,2.75
1023,2.875
1024,3.0625
1025,0
1026,0
1027,0
1028,7.9375
1029,-8
1030,0.0625
1031,0
1032,0.0625
1033,0
1034,-0.0625
1035,0
1036,4.75
1037,4.9375
1038,5.0625
1039,5.1875
1040,5.375
1041,0
1042,0
1043,0
1044,7.9375
1045,-8
1046,0.0625
1047,0
1048,0.0625
1049,0
1050,-0.0625
1051,0
1052,7.0625
1053,7.25
1054,7.375
1055,7.5
1056,7.6875
1057,0
1058,0
1059,0
1060,7.9375
1061,-8
1062,0.0625
1063,0
1064,0.0625
1065,0
1066,-0.0625
1067,0
1068,-6.625
1069,-6.4375
1070,-6.3125
1071,-6.1875
1072,-6
1073,0
1074,0
1075,0
1076,7.9375
1077,-8
1078,0.0625
1079,0
1080,0.0625
1081,0
1082,-0.0625
1083,0
1084,-4.3125
1085,-4.125
1086,-4
1087,-3.875
1088,-3.6875
1089,0
1090,0
1091,0
1092,7.9375
1093,-8
1094,0.0625
1095,0
1096,0.0625
1097,0
1098,-0.0625
1099,0
1100,-2
1101,-1.8125
1102,-1.6875
1103,-1.5625
1104,-1.375
1105,0
1106,0
1107,0
1108,7.9375
1109,-8
1110,0.0625
1111,0
1112,0.0625
1113,0
1114,-0.0625
1115,0
1116,0.3125
1117,0.5
1118,0.625
1119,0.75
1120,0.9375
1121,0
1122,0
1123,0
1124,7.9375
1125,-8
1126,0.0625
1127,0
1128,0.0625
1129,0
1130,-0.0625
1131,0
1132,2.625
1133,2.8125
1134,2.9375
1135,3.0625
1136,3.25
1137,0
