cycle,o_word
1842,0.015625
1843,-0.015625
1844,1.984375
1845,-2
1846,0
1847,-0.015625
1848,0.015625
1849,0
1850,-0.015625
1851,0.015625
1852,-2
1853,-2
1854,-2
1855,-2
1856,-2
1857,0
1858,0.015625
1859,-0.015625
1860,1.984375
1861,-2
1862,0
1863,-0.015625
1864,0.015625
1865,0
1866,-0.015625
1867,0.015625
1868,1.984375
1869,1.984375
1870,1.984375
1871,1.984375
1872,1.984375
1873,0
1874,0.015625
1875,-0.015625
1876,1.984375
1877,-2
1878,0
1879,-0.015625
1880,0.015625
1881,0
1882,-0.015625
1883,0.015625
1884,-2
1885,-2
1886,-1.53125
1887,-0.953125
1888,-0.375
1889,0
1890,0.015625
1891,-0.015625
1892,1.984375
1893,-2
1894,0
1895,-0.015625
1896,0.015625
1897,0
1898,-0.015625
1899,0.015625
1900,1.984375
1901,1.984375
1902,1.984375
1903,-2
1904,-2
1905,0
1906,0.015625
1907,-0.015625
1908,1.984375
1909,-2
1910,0
1911,-0.015625
1912,0.015625
1913,0
1914,-0.015625
1915,0.015625
1916,-0.1875
1917,0.390625
1918,0.96875
1919,1.546875
1920,1.984375
1921,0
1922,0.015625
1923,-0.015625
1924,1.984375
1925,-2
1926,0
1927,-0.015625
1928,0.015625
1929,0
1930,-0.015625
1931,0.015625
1932,-2
1933,-2
1934,-2
1935,-2
1936,-2
1937,0
1938,0.015625
1939,-0.015625
1940,1.984375
1941,-2
1942,0
1943,-0.015625
1944,0.015625
1945,0
1946,-0.015625
1947,0.015625
1948,1.984375
1949,1.984375
1950,1.984375
1951,1.984375
1952,1.984375
1953,0
1954,0.015625
1955,-0.015625
1956,1.984375
1957,-2
1958,0
1959,-0.015625
1960,0.015625
1961,0
1962,-0.015625
1963,0.015625
1964,-2
1965,-2
1966,-2
1967,-2
1968,-2
1969,0
1970,0.015625
1971,-0.015625
1972,1.984375
1973,-2
1974,0
1975,-0.015625
1976,0.015625
1977,0
1978,-0.015625
1979,0.015625
